strategy,timeframe,entry_preset_idx,exit_preset,period,total_trades,win_rate,sortino_ratio,net_profit_pct,backtest_days
VolumeDrivenVWAPCMF,4h,1,sl_only_trailing,IS,16,0.4375,-0.003,-0.071,701
VolumeDrivenVWAPCMF,4h,1,sl_only_trailing,OOS,8,0.125,-0.344,-5.587,360
VolumeDrivenVWAPCMF,4h,2,null_null,IS,11,0.2727,0.077,2.351,701
VolumeDrivenVWAPCMF,4h,2,null_null,OOS,6,0.5,0.343,3.571,360
VolumeDrivenVWAPCMF,4h,2,tight,IS,11,0.2727,-0.085,-2.132,701
VolumeDrivenVWAPCMF,4h,2,tight,OOS,6,0.5,0.235,2.447,360
VolumeDrivenVWAPCMF,4h,2,wide,IS,11,0.2727,-0.008,-0.228,701
VolumeDrivenVWAPCMF,4h,2,wide,OOS,6,0.5,0.563,5.865,360
VolumeDrivenVWAPCMF,4h,2,sl_only_trailing,IS,11,0.4545,-0.081,-1.826,701
VolumeDrivenVWAPCMF,4h,2,sl_only_trailing,OOS,6,0.6667,0.758,1.945,360
